Abdullah A19EE0180 A B A D A C C D A B C D A D C D A B C D
LuDong A19EE0160 A B D D A C B D D B C A A D C D A B C D
Syarifah AC12CS678 A A D C B C D D A B C C A A C D A D C D
Sivarajah AC12CS123 C B C B A C C D B B C C A B C D C C C D
Wendy B19EE0167 A C C D A B C C A A C D A A A D A B C D
Hani BD9EE0548 A C B D A B C D D D A A C B C D D D B C
Farah A12D6530B A B C D A B C D A D A C A C D D A B C D
Ika B639EE0G6 A D C B A D C D C D C B A D C C A B C D
Aisyah A43BB8762 A B B D A B C A A C C D B B C A B C C D
Daniel A97EE1645 A B C C C C A D D C C A D C B B A B A D
Elijah B20EE6213 A B C D A B C D A B C D A B C D A B C D
Alia AC23CS421 A B C D A D C C D B B B C A D C A B C D
Ameera B23CS1653 A B C D B B C A A B C D A D C D A A C C
Rayyan A22CS3216 A B C D A B A D A B D D A B C D A C C D 
Wazif B22EE1254 A D B C A B C D A C C D A B A C A B C D
